iter	Passed	Remaining
1472	8658	158
1473	8663	152
1474	8668	146
1475	8674	141
1476	8679	135
1477	8685	129
1478	8690	123
1479	8695	117
1480	8701	111
1481	8706	105
1482	8712	99
1483	8718	93
1484	8720	88
1485	8726	82
1486	8731	76
1487	8737	70
1488	8743	64
1489	8748	58
1490	8757	52
1491	8762	46
1492	8767	41
1493	8772	35
1494	8777	29
1495	8783	23
1496	8788	17
1497	8793	11
1498	8799	5
1499	8804	0
